store_name,tag,location,website,num_reviews,average_reviews,features,region,phone_number,price_range
Nougatine at Jean-Georges,"Relaxed French dining & an elegant bar, Casual (but upscale) sister of the adjoining Jean-Georges, with seasonal fare & a fixed-price lunch.","1 Central Park West, New York, NY 10023, United States",jean-georgesrestaurant.com,541 reviews,4.3,French restaurant,Manhattan,+1 212-299-3900,Very expensive
Kajitsu,"Upscale vegetarian Japanese menus, Tranquil, minimalist Japanese restaurant serving upscale, fixed-price vegetarian meals.","125 E 39th St 4th floor, New York, NY 10016, United States",kajitsunyc.com,343 reviews,4.6,"Japanese restaurant, Vegetarian restaurant",Manhattan,+1 212-228-4873,Very expensive
The Modern,"Fine dining at the Museum of Modern Art, French/New American fare in a modernist space with garden views at the Museum of Modern Art.","9 W 53rd St, New York, NY 10019, United States",themodernnyc.com,"1,642 reviews",4.6,"New American restaurant, American restaurant, Bar, Cocktail bar, Fine dining restaurant, French restaurant, Lunch restaurant, Restaurant, Wine bar",Manhattan,+1 212-333-1220,Very expensive
Estiatorio Milos,"Upscale Greek dining with fish focus, Stylish Greek restaurant serving fresh seafood in a Mediterranean-style whitewashed setting.","125 W 55th St, New York, NY 10019, United States",estiatoriomilos.com,"1,549 reviews",4.5,"Greek restaurant, Bar, European restaurant, Mediterranean restaurant, Restaurant, Seafood restaurant",Manhattan,+1 212-245-7400,Very expensive
Veselka,"Unfussy diner serving Ukrainian food, Borscht & pierogi are menu highlights at this no-frills Ukrainian eatery.","144 2nd Ave, New York, NY 10003, United States",veselka.com,"5,576 reviews",4.6,"Ukrainian restaurant, Breakfast restaurant, Diner, Hamburger restaurant, Lunch restaurant, Meal delivery, Takeout restaurant, Restaurant, Sandwich shop",Manhattan,+1 212-228-9682,Moderately expensive
Frenchette,"Classy, modern French bistro & bar, Contemporary bistro serving French standards & natural wines in a refined environment.","241 W Broadway, New York, NY 10013, United States",frenchettenyc.com,773 reviews,4.4,"French restaurant, Brasserie",Manhattan,+1 212-334-3883,Expensive
Hutong New York,"Contemporary Northern Chinese cuisine, Fine-dining destination for Northern Chinese plates set in an elegant Art Deco-inspired space.","731 Lexington Ave, New York, NY 10022, United States",hutong-nyc.com,497 reviews,4,"Chinese restaurant, Dim sum restaurant, Restaurant",Manhattan,+1 212-758-4800,Moderately expensive
L'Artusi,"Italian small-plates specialist, Italian small plates are matched by an extensive wine list at this bi-level restaurant.","228 W 10th St, New York, NY 10014, United States",lartusi.com,"1,243 reviews",4.7,"Italian restaurant, Bar",Manhattan,+1 212-255-5757,Expensive
Margaritaville Restaurant - Times Square,,"560 7th Ave, New York, NY 10018, United States",margaritavilletimessquare.com,704 reviews,4.1,"American restaurant, Bar, Bar & grill, Pub, Seafood restaurant",Manhattan,+1 332-242-4828,Moderately expensive
abc kitchen,"Farm-to-table dining in a design store, Chic New American eatery via Jean-Georges Vongerichten sourcing local, organic ingredients.","35 E 18th St, New York, NY 10003, United States",abckitchens.nyc,"2,291 reviews",4.5,"Organic restaurant, American restaurant, Bar, Brunch restaurant, New American restaurant, Restaurant",Manhattan,+1 212-475-5829,Expensive
Zuma New York,"Glitzy Japanese restaurant & lounge, Trendy, high-end Japanese place with an izakaya-inspired menu including sushi & robata grilled fare.","261 Madison Ave, New York, NY 10016, United States",zumarestaurant.com,"1,230 reviews",4.4,Japanese restaurant,Manhattan,+1 212-544-9862,Very expensive
Becco,"Bastianich's Restaurant Row Italian, Lidia Bastianich's lower-priced sibling to Felidia offering pasta specials.","355 W 46th St, New York, NY 10036, United States",becco-nyc.com,"3,077 reviews",4.4,"Italian restaurant, Bar",Manhattan,+1 212-397-7597,Moderately expensive
"One if by Land, Two if by Sea","Romantic American dining, This upscale American restaurant is known to be one of the city's most romantic.","17 Barrow St, New York, NY 10014, United States",oneifbyland.com,878 reviews,4.3,"American restaurant, Bar, Fine dining restaurant, New American restaurant, Restaurant",Manhattan,+1 212-255-8649,Very expensive
Chazz Palminteri Italian Restaurant NYC,"Traditional Italian dining & drinking, Old-school elegance, including table linens, sets the stage for Italian classics, cocktails & wines.","30 W 46th St, New York, NY 10036, United States",chazzpalminterinyc.com,684 reviews,4.5,Italian restaurant,Manhattan,+1 212-355-5540,Expensive
Aquavit,"Upscale Scandinavian fare in chic space, High-end Scandinavian tasting & fixed-price menus served in a minimalist Nordic setting.","65 E 55th St, New York, NY 10022, United States",aquavit.org,719 reviews,4.6,"Scandinavian restaurant, European restaurant, Restaurant, Swedish restaurant",Manhattan,+1 212-307-7311,Very expensive
Sushi Nakazawa,"High-end Japanese dining, Destination sushi spot for high-end omakase (multicourse, chef's choice meals) in spare digs.","23 Commerce St, New York, NY 10014, United States",sushinakazawa.com,"1,245 reviews",4.6,"Sushi restaurant, Japanese restaurant",Manhattan,+1 212-924-2212,Very expensive
Portale,"Contemporary Italian restaurant, Warm neighborhood restaurant & bar presenting seasonally driven Italian dishes from an open kitchen.","126 W 18th St, New York, NY 10011, United States",portalerestaurant.com,263 reviews,4.8,Italian restaurant,Manhattan,+1 917-781-0255,
Buvette New York,"French-style tapas in cozy quarters, Popular, quaint bistro offering a French small-plates menu at breakfast, lunch & dinner (till 2 AM).","42 Grove St, New York, NY 10014, United States",ilovebuvette.com,"2,582 reviews",4.4,"French restaurant, Breakfast restaurant, Brunch restaurant, Cafe, Wine bar",Manhattan,,Expensive
Eataly NYC Flatiron,"Big-name Italian market with restaurants, Branch of the famed Italian market, offering counters, restaurants & cooking demos.","200 5th Ave, New York, NY 10010, United States",eataly.com,"8,211 reviews",4.5,"Market, Cafe, Cooking school, Grocery store, Italian grocery store, Italian restaurant, Pasta shop, Pizza restaurant, Wine store",Manhattan,+1 212-229-2560,Moderately expensive
Gallaghers Steakhouse,"Venerable steakhouse institution, Iconic steakhouse offering classic cuts & raw bar items in renovated digs with red banquettes.","228 W 52nd St, New York, NY 10019, United States",gallaghersnysteakhouse.com,"4,569 reviews",4.6,"Steak house, Bar",Manhattan,+1 212-586-5000,Very expensive
Quality Italian,"Swanky, modern Italian steakhouse, Steakhouse with striking, contemporary design, plus an upmarket menu of chops & Italian fare.","57 W 57th St, New York, NY 10019, United States",qualityitalian.com,"1,703 reviews",4.4,"Italian restaurant, American restaurant, Steak house",Manhattan,+1 212-390-1111,Very expensive
Grand Central Oyster Bar,"Famous seafood spot under Grand Central, Venerated, iconic eatery serving raw oysters, pan roasts & chowders in a bustling, vaulted setting.","89 E 42nd St, New York, NY 10017, United States",oysterbarny.com,"3,081 reviews",4.2,"Oyster bar restaurant, American restaurant, Seafood restaurant",Manhattan,+1 212-490-6650,Moderately expensive
Bobo,"French fare in an atmospheric townhouse, Low-lit place with outdoor terrace & downstairs bar serving French classics and sustainable wines.","181 W 10th St, New York, NY 10014, United States",bobonyc.com,555 reviews,4.6,"French restaurant, Brunch restaurant, Cocktail bar, Wine bar",Manhattan,+1 212-488-2626,Moderately expensive
"Tommy Bahama Restaurant, Bar & Store","Lively chain for island-inspired fare, Tropical dishes, including fish tacos, crab cakes & other seafood, plus burgers & beachy cocktails.","551 5th Ave, New York, NY 10176, United States",tommybahama.com,"1,005 reviews",4.5,"Restaurant, Bar, Men's clothing store, Women's clothing store",Manhattan,+1 212-537-0956,Expensive
ICHIRAN Ramen NY Times Square,"Casual eatery for tonkotsu ramen, Informal ramen restaurant with a specialty for tonkotsu ramen in a pork bone broth.","152 W 49th St, New York, NY 10020, United States",ichiranusa.com,"1,300 reviews",4.6,"Ramen restaurant, Japanese restaurant, Noodle shop, Restaurant",Manhattan,+1 646-964-4294,Moderately expensive
Tavern On the Green,"Central Park icon for American cuisine, Restored Central Park icon for American fare in an elegant setting with courtyard & garden seating.","W 67th St, New York, NY 10023, United States",tavernonthegreen.com,"5,197 reviews",4.4,"American restaurant, Restaurant",Manhattan,+1 212-877-8684,Expensive
Charlie Bird,"Trendy haunt for New American fare, Hip, bi-level spot featuring Italian-accented New American fare, wine & art featuring boomboxes.","5 King St, New York, NY 10012, United States",charliebirdnyc.com,724 reviews,4.4,Italian restaurant,Manhattan,+1 212-235-7133,Expensive
Scalini Fedeli,"Upscale Italian fixed-price menus, French-influenced Italian fixed-price menus in an elegant, vaulted interior with Tuscan touches.","165 Duane St, New York, NY 10013, United States",scalinifedeli.com,333 reviews,4.7,Italian restaurant,Manhattan,+1 212-528-0400,Expensive
Petite Boucherie,"Classic French fare & Parisian ambiance, Parisian-style cafe serving comforting French fare in a snug space with an open kitchen.","| First Floor, 14 Christopher St, New York, NY 10014, United States",boucherie.nyc,"1,074 reviews",4.7,Bistro,Manhattan,+1 646-756-4145,Moderately expensive
La Masseria NY,"Quick & simple Southern Italian fare, Hearty Southern Italian food served at a pre-theater-appropriate pace in an Old World setting.","235 W 48th St, New York, NY 10036, United States",lamasserianyc.com,946 reviews,4.4,"Italian restaurant, Bar, Restaurant",Manhattan,+1 212-582-2111,Expensive
Olio e Più,"Neapolitan pizza & pasta, Naples meets NYC at this trattoria with thin-crust pizza, Italian wines & ample sidewalk seating.","3 Greenwich Ave, New York, NY 10014, United States",olioepiu.nyc,"3,589 reviews",4.6,Italian restaurant,Manhattan,+1 212-243-6546,Moderately expensive
Piccola Cucina Osteria Siciliana,"Neighborhood trattoria for pasta & wine, Simple Italian outpost serving salads & homestyle pastas along with an extensive wine list.","196 Spring St, New York, NY 10012, United States",piccolacucinagroup.com,"1,256 reviews",4.6,"Italian restaurant, Sicilian restaurant",Manhattan,+1 646-478-7488,Moderately expensive
The Clocktower,"Modern American fare in sceney digs, High-end American fare in a posh, clubby setting with dining rooms & a lounge with a pool table.","5 Madison Ave, New York, NY 10010, United States",theclocktowernyc.com,564 reviews,4.5,"British restaurant, Bar, Fine dining restaurant, Restaurant",Manhattan,+1 212-413-4300,Expensive
The Smith,"Trendy American bistro, Trendy types gather for American eats & specialty drinks at this upbeat hangout & brunch favorite.","55 3rd Ave, New York, NY 10003, United States",thesmithrestaurant.com,"2,076 reviews",4.4,"American restaurant, Brasserie",Manhattan,+1 212-420-9800,Moderately expensive
Club A,"Upscale American dining amid glam decor, Traditional steakhouse fare is served in an ornate setting with a separate piano room & wine cellar.","240 E 58th St, New York, NY 10022, United States",clubasteakhouse.com,"2,289 reviews",4.8,Steak house,Manhattan,+1 212-688-4190,Expensive
TAO Downtown Restaurant,"Pan-Asian restaurant with a trendy crowd, This enormous Pan-Asian eatery is known for a huge Quan Yin centerpiece & a trendy crowd.","92 9th Ave, New York, NY 10011, United States",taogroup.com,"3,832 reviews",4.4,Asian fusion restaurant,Manhattan,+1 212-888-2724,Expensive
Le Coucou,"Rustic-chic eatery for French classics, Refined French fare, such as lobster, rabbit, duck & foie gras, served in an airy, elegant setting.","138 Lafayette St, New York, NY 10013, United States",lecoucou.com,"1,239 reviews",4.6,"French restaurant, Breakfast restaurant, Family restaurant, Fine dining restaurant, Modern European restaurant, Modern French restaurant, Restaurant",Manhattan,+1 212-271-4252,Very expensive
Piccola Cucina Estiatorio,,"75 Thompson St, New York, NY 10012, United States",piccolacucinagroup.com,726 reviews,4.6,"Sicilian restaurant, Italian restaurant, Seafood market",Manhattan,+1 646-781-9183,Moderately expensive
Don Angie,"Italian-American food & cocktails, Updated Italian-American classics with wine & cocktails in a marble-accented space.","103 Greenwich Ave, New York, NY 10014, United States",donangie.com,693 reviews,4.7,"Italian restaurant, American restaurant, Restaurant",Manhattan,+1 212-889-8884,Expensive
Loi Estiatorio,"Upscale Greek fare in a sleek space, Traditional Greek seafood & other classics in refined preparations served in sleek, minimalist digs.","132 W 58th St, New York, NY 10019, United States",loiestiatorio.com,445 reviews,4.6,Greek restaurant,Manhattan,+1 212-713-0015,Expensive
San Carlo Osteria Piemonte,"Chic pick for Northern Italian cuisine, Elegant, contemporary restaurant specializing in refined fare from Italy's Piedmont region.","90 Thompson St, New York, NY 10012, United States",sancarlonyc.com,593 reviews,4.6,Italian restaurant,Manhattan,+1 212-625-1212,Moderately expensive
OBAO,"Polished Asian fusion restaurant, Sleek destination turning out Asian fusion BBQ & small plates with creative cocktails.","647 9th Ave, New York, NY 10036, United States",obaony.com,"2,311 reviews",4.3,"Asian fusion restaurant, Bar, Thai restaurant, Vietnamese restaurant",Manhattan,+1 212-245-8880,Moderately expensive
Raoul's,"Classic bistro with French flair, Classic bistro dating to the 1970s with a bustling Parisian atmosphere & a serious French menu.","180 Prince St, New York, NY 10012, United States",raouls.com,711 reviews,4.6,"French restaurant, Bistro",Manhattan,+1 212-966-3518,Expensive
IL Gattopardo,"Townhouse Southern Italian restaurant, Refined versions of Italian comfort food served in a renovated townhouse with a garden.","13-15 W 54th St, New York, NY 10019, United States",ilgattopardonyc.com,527 reviews,4.5,"Southern Italian restaurant, Italian restaurant, Restaurant",Manhattan,+1 212-246-0412,Very expensive
Cosme,"Modern Mexican locale with a long bar, Sleek Mexican spot with a big bar for locally sourced share plates, plus tequila & mezcal cocktails.","35 E 21st St, New York, NY 10010, United States",cosmenyc.com,"2,233 reviews",4.3,"Mexican restaurant, Restaurant",Manhattan,+1 212-913-9659,Very expensive
The Harrow New York,,"720 10th Ave, New York, NY 10019, United States",theharrownewyork.com,285 reviews,4.6,"New American restaurant, Restaurant",Manhattan,+1 212-757-6977,
Schnipper's,"Counter-service American diner fare, Sandwiches, salads, shakes & other American diner classics in a cafeteria-like setting.","620 8th Ave, New York, NY 10018, United States",schnippers.com,"2,762 reviews",4.2,"Hamburger restaurant, Caterer, Chicken restaurant, Gluten-free restaurant, Hot dog restaurant, Hot dog stand, Salad shop, Sandwich shop, Traditional American restaurant, Vegetarian restaurant",Manhattan,+1 212-921-2400,Moderately expensive
The Smith,"Trendy American bistro, Trendy types gather for American eats & specialty drinks at this upbeat hangout & brunch favorite.","956 2nd Ave, New York, NY 10022, United States",thesmithrestaurant.com,"4,209 reviews",4.4,"American restaurant, Breakfast restaurant, Brunch restaurant, Lunch restaurant, Oyster bar restaurant",Manhattan,+1 212-644-2700,Moderately expensive
Boucherie Union Square,"Bistro focused on steaks & cocktails, Bistro for dry-aged steaks & other French fare, with a bar that's strong on absinthe.","225 Park Ave S, New York, NY 10003, United States",boucherie.nyc,"1,860 reviews",4.6,"French restaurant, Steak house",Manhattan,+1 212-353-0200,Expensive
Niles,"Mod spot for upmarket American fare, Open-all-day venue offering gourmet American menus, glossy white-on-white decor & a busy bar scene.","371 7th Ave, New York, NY 10001, United States",nilesnyc.com,417 reviews,4.1,"American restaurant, Bar, Cocktail bar",Manhattan,+1 212-629-0210,Moderately expensive
Daniel,"Jacket-required French fine dining, Daniel Boulud's elegant French flagship where jackets are required & expense accounts come in handy.","60 E 65th St, New York, NY 10065, United States",danielnyc.com,"1,913 reviews",4.6,French restaurant,Manhattan,+1 212-288-0033,Very expensive
Quality Bistro,"Stylish choice for updated bistro fare, Elevated brasserie serving contemporary takes on French classics in a whimsical multi-room space.","120 W 55th St, New York, NY 10019, United States",qualitybistro.com,521 reviews,4.6,"American restaurant, Bistro, French restaurant, Seafood restaurant, Steak house",Manhattan,+1 212-433-3330,
Los Tacos No.1,"Lively spot for stand-&-eat tacos, Bustling taqueria serving tacos, quesadillas & aguas frescas in a street-style setup (no seating).","229 W 43rd St, New York, NY 10036, United States",lostacos1.com,"7,295 reviews",4.7,"Taco restaurant, Mexican restaurant, Mexican torta restaurant",Manhattan,,Inexpensive
Marea,"Fine Italian seafood in a modern setting, High-end Italian seafood & housemade pastas in a chic Central Park South setting.","240 Central Park S, New York, NY 10019, United States",marearestaurant.com,"2,184 reviews",4.5,"Seafood restaurant, Cocktail bar, Fine dining restaurant, Italian restaurant, Lunch restaurant, Takeout restaurant, Restaurant, Wine bar",Manhattan,+1 212-582-5100,Very expensive
Carmine's Italian Restaurant - Times Square,"Family-friendly Italian option, Low-key eatery offering a big menu of pizza & Italian classics, plus a full bar.","200 W 44th St, New York, NY 10036, United States",carminesnyc.com,"11,948 reviews",4.5,"Italian restaurant, Caterer, Delivery service, Family restaurant, Restaurant",Manhattan,+1 212-221-3800,Moderately expensive
Per Se,"Thomas Keller's New American fine dining, Chef Thomas Keller's New American restaurant offers luxe fixed-price menus, with Central Park views.","10 Columbus Circle, New York, NY 10019, United States",thomaskeller.com,"1,456 reviews",4.6,"French restaurant, Fine dining restaurant",Manhattan,+1 212-823-9335,Very expensive
La Grande Boucherie,"Chic French bistro with a heated atrium, Polished French restaurant in an expansive art nouveau–style space with an elegant heated atrium.","145 W 53rd St, New York, NY 10019, United States",boucherie.nyc,"1,836 reviews",4.5,"French restaurant, Restaurant",Manhattan,+1 212-510-7714,
Boucherie West Village,"Bistro focused on steaks & cocktails, Two-floor bistro for dry-aged steaks & other French fare, with a bar that's strong on absinthe.","99 7th Ave S, New York, NY 10014, United States",boucherie.nyc,"2,900 reviews",4.6,French restaurant,Manhattan,+1 212-837-1616,Expensive
Le Bernardin,"Celebrated French seafood restaurant, Elite French restaurant offers chef Eric Ripert's refined seafood, expert service & luxurious decor.","155 W 51st St, New York, NY 10019, United States",le-bernardin.com,"2,803 reviews",4.7,"Restaurant, Fine dining restaurant",Manhattan,+1 212-554-1515,
Upland,"California-inspired fare in rustic digs, Spacious, casually chic brasserie with hearty dishes featuring Californian & Italian influences.","345 Park Ave S, New York, NY 10010, United States",uplandnyc.com,"1,659 reviews",4.5,"Californian restaurant, American restaurant, Bar, Italian restaurant, Takeout restaurant, Restaurant",Manhattan,+1 212-686-1006,Expensive
Cafe Luxembourg,"Hip, longstanding French bistro, French comfort food & a Parisian vibe have been drawing A-list types here since 1983.","200 W 70th St, New York, NY 10023, United States",cafeluxembourg.com,"1,044 reviews",4.4,"French restaurant, American restaurant, Brunch restaurant, Cocktail bar, Wine bar",Manhattan,+1 212-873-7411,Expensive
Pure Thai Cookhouse,"Spicy home-style Thai cooking, Homemade noodles star at this Thai eatery, which also dishes out stir-fries & sticky rice.","766 9th Ave #2, New York, NY 10019, United States",purethaicookhouse.com,"2,244 reviews",4.6,"Thai restaurant, Asian restaurant, Noodle shop, Southeast Asian restaurant",Manhattan,+1 212-581-0999,Moderately expensive
Bond 45 NY,"Spacious Italian trattoria, Wide-ranging Italian menu including steak, seafood & an antipasti bar served in a sprawling space.","221 W 46th St, New York, NY 10036, United States",bond45ny.com,"1,694 reviews",4.1,"Italian restaurant, Bar, Live music bar, Live music venue, Lounge, Restaurant",Manhattan,+1 212-869-4545,Moderately expensive
Keens Steakhouse,"Victorian-era meat-lover's destination, Enormous steaks & signature mutton chops served in a maze of clubby, wood-paneled rooms.","72 W 36th St., New York, NY 10018, United States",keens.com,"6,086 reviews",4.6,Steak house,Manhattan,+1 212-947-3636,Very expensive
San Pietro,"High-end Italian restaurant, A Midtown power-lunch scene that's fueled by high-end Italian dining & expense accounts.","18 E 54th St, New York, NY 10022, United States",sanpietroristorantenyc.com,145 reviews,4.4,"Italian restaurant, Bar, Meal delivery, Takeout restaurant, Restaurant",Manhattan,+1 212-753-9015,Expensive
Wildair,"Modern American fare in casual digs, An offshoot of Contra, this American restaurant serves sophisticated American fare in simple digs.","142 Orchard St, New York, NY 10002, United States",wildair.nyc,402 reviews,4.5,New American restaurant,Manhattan,+1 646-964-5624,Expensive
COTE Korean Steakhouse,"Sleek Korean steak specialist, Upscale Korean steakhouse featuring tables with smokeless grills, plus an extensive wine list.","16 W 22nd St, New York, NY 10010, United States",cotenyc.com,"2,206 reviews",4.6,"Steak house, Korean barbecue restaurant, Korean beef restaurant, Korean restaurant, Korean rib restaurant",Manhattan,+1 212-401-7986,Very expensive
Gramercy Tavern,"New American fine dining & a buzzy bar, Danny Meyer's Flatiron District tavern with a fixed-price-only dining room & a bustling bar area.","42 E 20th St, New York, NY 10003, United States",gramercytavern.com,"3,071 reviews",4.7,"New American restaurant, American restaurant, Bar",Manhattan,+1 212-477-0777,Very expensive
Capizzi,"Brick-oven Neapolitan-style pizzas, Small, family-owned brick-oven pizzeria serving Neapolitan-style pies in an old-fashioned space.","547 9th Ave, New York, NY 10018, United States",capizzinyc.com,"1,317 reviews",4.5,"Pizza restaurant, Italian restaurant, Wine bar",Manhattan,+1 212-695-6900,Moderately expensive
Balthazar,"Legendary French brasserie & boulangerie, Iconic French brasserie with steak frites, brunch & pastries in a classy space with red banquettes.","80 Spring St, New York, NY 10012, United States",balthazarny.com,"5,482 reviews",4.4,"French restaurant, Bakery, Seafood restaurant",Manhattan,+1 212-965-1414,Expensive
Via Carota,"Rustic trattoria with hearty fare, Italian trattoria serving traditional plates & apéritifs in a rustic, cozy space.","51 Grove St, New York, NY 10014, United States",viacarota.com,"1,642 reviews",4.5,Italian restaurant,Manhattan,+1 212-255-1962,Expensive
ATOMIX,"Modern Korean dining with chef's tasting, Upscale Korean restaurant offering a chef's tasting menu with beverage pairings in chic environs.","104 E 30th St, New York, NY 10016, United States",atomixnyc.com,223 reviews,4.8,"Korean restaurant, Fine dining restaurant",Manhattan,,Very expensive
Eleven Madison Park,"High-end American food in art deco space, Upscale American tasting menus from chef Daniel Humm served in a high-ceilinged art deco space.","11 Madison Ave, New York, NY 10010, United States",elevenmadisonpark.com,"2,131 reviews",4.5,"Fine dining restaurant, Restaurant",Manhattan,+1 212-889-0905,Very expensive
K.Rico Steakhouse,"Chophouse with Latin specialties, Upscale place for South American steaks & other Latin dishes, with a patio & sidewalk seating.","772 9th Ave, New York, NY 10019, United States",krico-steakhouse.business.site,936 reviews,4.5,"Steak house, Restaurant",Manhattan,+1 212-757-9393,
Jean-Georges,"New French cuisine & Central Park views, Sophisticated New French eatery boasting floor-to-ceiling windows overlooking Central Park.","1 Central Park West, New York, NY 10023, United States",jean-georgesrestaurant.com,"1,372 reviews",4.5,"Haute French restaurant, Bar, Fine dining restaurant, French restaurant",Manhattan,+1 212-299-3900,Very expensive
Fogo de Chão Brazilian Steakhouse,"Upmarket Brazilian churrascaria, Upscale Brazilian chain for all-you-can-eat meat carved tableside plus an extensive salad bar.","40 W 53rd St, New York, NY 10019, United States",fogodechao.com,"5,085 reviews",4.5,"Brazilian restaurant, Restaurant, Steak house",Manhattan,+1 212-969-9980,Expensive
Kochi,"Korean tasting menu restaurant, Seasonal ingredients shine on a multicourse Korean tasting menu served in a sleek space.","652 10th Ave, New York, NY 10036, United States",kochinyc.com,381 reviews,4.7,Korean restaurant,Manhattan,+1 646-478-7308,
Minetta Tavern,"Reinvented old-school tavern, Celeb-magnet hot-ticket tavern with upper-end French bistro fare & reimagined vintage decor.","113 MacDougal St, New York, NY 10012, United States",minettatavernny.com,"1,769 reviews",4.5,"French restaurant, Bar, Brunch restaurant, Hamburger restaurant, Restaurant",Manhattan,+1 212-475-3850,Expensive
Joe Allen,"Cozy American eatery & Broadway hangout, Snug, classic tavern attracting Broadway patrons & actors with American comfort food & cocktails.","326 W 46th St, New York, NY 10036, United States",joeallenrestaurant.com,668 reviews,4.4,"American restaurant, New American restaurant, Restaurant",Manhattan,+1 212-581-6464,Moderately expensive
Benoit New York,"Classic, upscale French bistro fare, Alain Ducasse's upscale French bistro, modeled after the Paris original, serves up classic fare.","60 W 55th St, New York, NY 10019, United States",benoitny.com,795 reviews,4.4,"French restaurant, Bistro",Manhattan,+1 646-943-7373,Expensive
Hard Rock Cafe,"Music-themed chain with an American menu, Rock ’n’ roll-themed chain with a high-energy vibe serving burgers & American classics.","1501 Broadway, New York, NY 10036, United States",hardrockcafe.com,"18,735 reviews",4.4,American restaurant,Manhattan,+1 212-343-3355,Moderately expensive
Junior's Restaurant & Bakery,"Famous desserts & deli from Brooklyn, Cheesecakes are the star at this Brooklyn-themed locale with deli fare, BBQ, a full bar & patio.","1515 Broadway @, W 45th St, New York, NY 10036, United States",juniorscheesecake.com,"11,121 reviews",4.4,American restaurant,Manhattan,+1 212-302-2000,Moderately expensive
Michael's,"California cuisine & celebrity sightings, Stylish, art-adorned Californian eatery  frequented by high-profile media personalities.","24 W 55th St, New York, NY 10019, United States",michaelsnewyork.com,258 reviews,4.5,"American restaurant, Bar, Californian restaurant, Event venue, Fine dining restaurant, Traditional American restaurant",Manhattan,+1 212-767-0555,Expensive
